time	V(vc)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	3.600823e-007
1.999999943436137e-009	7.201645e-007
5.758691423275273e-004	2.038843e-001
1.151736284655111e-003	4.022293e-001
1.727603426982695e-003	5.950356e-001
2.303470569310279e-003	7.823032e-001
2.879337711637862e-003	9.640321e-001
3.455204853965446e-003	1.140222e+000
4.031071996293029e-003	1.310874e+000
5.416786282007311e-003	1.698127e+000
6.802500567721593e-003	2.062721e+000
8.188214853435877e-003	2.404658e+000
9.573929139150159e-003	2.723936e+000
1.095964342486444e-002	3.020557e+000
1.234535771057872e-002	3.294519e+000
1.373107199629300e-002	3.545823e+000
1.550250056772156e-002	3.841681e+000
1.727392913915013e-002	4.116487e+000
1.904535771057869e-002	4.370242e+000
2.081678628200725e-002	4.602944e+000
2.258821485343581e-002	4.814595e+000
2.435964342486437e-002	5.005193e+000
2.613107199629293e-002	5.174739e+000
2.790250056772153e-002	5.331077e+000
2.967392913915012e-002	5.476290e+000
3.144535771057872e-002	5.610380e+000
3.321678628200732e-002	5.733344e+000
3.498821485343592e-002	5.845185e+000
3.675964342486451e-002	5.945901e+000
3.853107199629310e-002	6.035493e+000
4.030250056772173e-002	6.118106e+000
4.207392913915035e-002	6.194840e+000
4.384535771057897e-002	6.265695e+000
4.561678628200760e-002	6.330673e+000
4.738821485343622e-002	6.389771e+000
4.915964342486484e-002	6.442992e+000
5.093107199629346e-002	6.490334e+000
5.220250056772207e-002	6.522308e+000
5.347392913915067e-002	6.552539e+000
5.474535771057928e-002	6.581028e+000
5.601678628200789e-002	6.607773e+000
5.728821485343650e-002	6.632776e+000
5.855964342486511e-002	6.656037e+000
5.983107199629371e-002	6.677554e+000
5.993107199629372e-002	6.679209e+000
6.000000000000000e-002	-1.#IND00e+000
