time	V(vc)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	3.600823e-007
1.999999943436137e-009	7.201645e-007
2.995948486697360e-004	1.067747e-001
5.991876973395286e-004	2.116249e-001
8.987805460093212e-004	3.145515e-001
1.198373394679114e-003	4.155545e-001
1.497966243348906e-003	5.146338e-001
1.797559092018699e-003	6.117894e-001
2.097151940688491e-003	7.070213e-001
4.194303881376982e-003	1.327838e+000
8.388607762753964e-003	2.371549e+000
1.562062833839828e-002	3.763747e+000
2.339723643241306e-002	4.815421e+000
3.339723643241306e-002	5.685100e+000
4.339723643241306e-002	6.223111e+000
5.339723643241306e-002	6.549805e+000
6.000000000000000e-002	-1.#IND00e+000
