time	V(Vin,Vc)	V(vc)	I(C1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999960041972e-013	7.000000e+000	3.600823e-010	4.861111e-003
1.999999992008394e-012	7.000000e+000	7.201646e-010	6.481481e-003
1.006310719994779e-004	6.963858e+000	3.614184e-002	6.448017e-003
2.030310719994804e-004	6.927273e+000	7.272746e-002	6.414141e-003
3.054310719994828e-004	6.890879e+000	1.091209e-001	6.380443e-003
4.078310719994853e-004	6.854677e+000	1.453231e-001	6.346923e-003
5.102310719994759e-004	6.818665e+000	1.813351e-001	6.313579e-003
6.126310719994229e-004	6.782842e+000	2.171579e-001	6.280409e-003
7.150310719993699e-004	6.747207e+000	2.527925e-001	6.247414e-003
8.174310719993169e-004	6.711760e+000	2.882399e-001	6.214593e-003
9.198310719992638e-004	6.676499e+000	3.235011e-001	6.181943e-003
1.022231071999260e-003	6.641423e+000	3.585770e-001	6.149466e-003
1.124631071999318e-003	6.606531e+000	3.934686e-001	6.117159e-003
1.227031071999376e-003	6.571823e+000	4.281770e-001	6.085021e-003
1.329431071999434e-003	6.537297e+000	4.627030e-001	6.053053e-003
1.431831071999492e-003	6.502952e+000	4.970476e-001	6.021252e-003
1.534231071999550e-003	6.468788e+000	5.312118e-001	5.989619e-003
1.636631071999608e-003	6.434804e+000	5.651965e-001	5.958152e-003
1.739031071999666e-003	6.400997e+000	5.990026e-001	5.926849e-003
1.841431071999724e-003	6.367369e+000	6.326312e-001	5.895712e-003
1.943831071999782e-003	6.333917e+000	6.660830e-001	5.864738e-003
2.046231071999638e-003	6.300641e+000	6.993592e-001	5.833927e-003
2.148631071999474e-003	6.267540e+000	7.324604e-001	5.803277e-003
2.251031071999310e-003	6.234612e+000	7.653879e-001	5.772789e-003
2.353431071999146e-003	6.201858e+000	7.981423e-001	5.742461e-003
2.455831071998982e-003	6.169275e+000	8.307246e-001	5.712292e-003
2.558231071998818e-003	6.136864e+000	8.631358e-001	5.682282e-003
2.660631071998654e-003	6.104623e+000	8.953766e-001	5.652429e-003
2.763031071998490e-003	6.072552e+000	9.274482e-001	5.622733e-003
2.865431071998326e-003	6.040649e+000	9.593511e-001	5.593193e-003
2.967831071998162e-003	6.008913e+000	9.910865e-001	5.563809e-003
3.070231071997998e-003	5.977345e+000	1.022655e+000	5.534579e-003
3.172631071997834e-003	5.945942e+000	1.054058e+000	5.505502e-003
3.275031071997670e-003	5.914704e+000	1.085296e+000	5.476578e-003
3.377431071997506e-003	5.883630e+000	1.116370e+000	5.447806e-003
3.479831071997342e-003	5.852720e+000	1.147280e+000	5.419185e-003
3.582231071997178e-003	5.821972e+000	1.178028e+000	5.390715e-003
3.684631071997014e-003	5.791385e+000	1.208615e+000	5.362394e-003
3.787031071996850e-003	5.760959e+000	1.239041e+000	5.334222e-003
3.889431071996686e-003	5.730693e+000	1.269307e+000	5.306198e-003
3.991831071996892e-003	5.700586e+000	1.299414e+000	5.278321e-003
4.094231071997172e-003	5.670638e+000	1.329362e+000	5.250590e-003
4.196631071997452e-003	5.640846e+000	1.359154e+000	5.223006e-003
4.299031071997733e-003	5.611211e+000	1.388789e+000	5.195566e-003
4.401431071998013e-003	5.581732e+000	1.418268e+000	5.168270e-003
